,loc_inicio,loc_fim,multip_g,numero_passos,variacao_altura
388,"[15, 2]","[14, 15]",0.7,104.0,-9.0
389,"[28, 13]","[16, 5]",0.7,30.0,-5.0
390,"[28, 13]","[10, 7]",0.7,92.0,-13.0
391,"[26, 6]","[5, 0]",0.7,88.0,11.0
392,"[18, 24]","[26, 1]",0.7,58.0,-2.0
393,"[17, 3]","[1, 17]",0.7,58.0,9.0
394,"[21, 9]","[22, 16]",0.7,56.0,-12.0
395,"[15, 5]","[27, 1]",0.7,38.0,17.0
396,"[5, 28]","[6, 28]",0.7,1.0,3.0
397,"[6, 5]","[25, 18]",0.7,96.0,7.0
398,"[24, 14]","[19, 29]",0.7,24.0,2.0
399,"[22, 18]","[27, 20]",0.7,7.0,4.0
400,"[6, 10]","[8, 1]",0.8,31.0,-6.0
401,"[19, 15]","[8, 12]",0.8,21.0,-8.0
402,"[9, 10]","[10, 4]",0.8,23.0,-10.0
403,"[24, 18]","[24, 11]",0.8,55.0,3.0
404,"[28, 1]","[21, 20]",0.8,64.0,6.0
405,"[3, 19]","[2, 25]",0.8,,
406,"[10, 24]","[3, 25]",0.8,18.0,0.0
407,"[16, 13]","[15, 27]",0.8,,
408,"[8, 1]","[1, 19]",0.8,62.0,-9.0
409,"[9, 28]","[20, 29]",0.8,150.0,-12.0
410,"[15, 22]","[4, 11]",0.8,102.0,-3.0
411,"[11, 21]","[26, 10]",0.8,70.0,-13.0
412,"[15, 0]","[10, 29]",0.8,141.0,-14.0
413,"[23, 9]","[26, 6]",0.8,17.0,-10.0
414,"[24, 9]","[23, 5]",0.8,29.0,3.0
415,"[27, 2]","[15, 16]",0.8,65.0,-16.0
416,"[9, 18]","[13, 27]",0.8,,
417,"[20, 26]","[1, 17]",0.8,38.0,0.0
418,"[29, 29]","[23, 12]",0.8,25.0,0.0
419,"[1, 9]","[11, 21]",0.8,52.0,11.0
420,"[2, 20]","[15, 3]",0.8,35.0,-6.0
421,"[10, 8]","[18, 0]",0.8,19.0,-4.0
422,"[27, 0]","[17, 19]",0.8,88.0,11.0
423,"[22, 29]","[2, 15]",0.8,56.0,-4.0
424,"[0, 10]","[10, 2]",0.8,30.0,14.0
425,"[1, 23]","[12, 25]",0.8,61.0,11.0
426,"[27, 14]","[12, 25]",0.8,138.0,2.0
427,"[22, 14]","[8, 27]",0.8,57.0,10.0
428,"[24, 28]","[6, 7]",0.8,58.0,7.0
429,"[18, 10]","[21, 1]",0.8,,
430,"[7, 28]","[22, 22]",0.8,50.0,10.0
431,"[4, 1]","[12, 23]",0.8,126.0,11.0
432,"[29, 9]","[20, 11]",0.8,,
433,"[5, 18]","[14, 12]",0.8,242.0,5.0
434,"[28, 28]","[10, 15]",0.8,58.0,-9.0
435,"[19, 4]","[2, 3]",0.8,129.0,-3.0
436,"[14, 5]","[6, 26]",0.8,43.0,13.0
437,"[17, 21]","[6, 6]",0.8,,
438,"[15, 2]","[14, 15]",0.8,104.0,-9.0
439,"[28, 13]","[16, 5]",0.8,30.0,-5.0
440,"[28, 13]","[10, 7]",0.8,93.0,-13.0
441,"[26, 6]","[5, 0]",0.8,,
442,"[18, 24]","[26, 1]",0.8,58.0,-2.0
443,"[17, 3]","[1, 17]",0.8,59.0,9.0
444,"[21, 9]","[22, 16]",0.8,65.0,-12.0
445,"[15, 5]","[27, 1]",0.8,38.0,17.0
446,"[5, 28]","[6, 28]",0.8,1.0,3.0
447,"[6, 5]","[25, 18]",0.8,98.0,7.0
448,"[24, 14]","[19, 29]",0.8,24.0,2.0
449,"[22, 18]","[27, 20]",0.8,7.0,4.0
450,"[6, 10]","[8, 1]",0.9,31.0,-6.0
451,"[19, 15]","[8, 12]",0.9,21.0,-8.0
452,"[9, 10]","[10, 4]",0.9,23.0,-10.0
453,"[24, 18]","[24, 11]",0.9,80.0,3.0
454,"[28, 1]","[21, 20]",0.9,64.0,6.0
455,"[3, 19]","[2, 25]",0.9,,
456,"[10, 24]","[3, 25]",0.9,18.0,0.0
457,"[16, 13]","[15, 27]",0.9,,
458,"[8, 1]","[1, 19]",0.9,62.0,-9.0
459,"[9, 28]","[20, 29]",0.9,161.0,-12.0
460,"[15, 22]","[4, 11]",0.9,124.0,-3.0
461,"[11, 21]","[26, 10]",0.9,70.0,-13.0
462,"[15, 0]","[10, 29]",0.9,74.0,-14.0
463,"[23, 9]","[26, 6]",0.9,17.0,-10.0
464,"[24, 9]","[23, 5]",0.9,29.0,3.0
465,"[27, 2]","[15, 16]",0.9,63.0,-16.0
466,"[9, 18]","[13, 27]",0.9,,
467,"[20, 26]","[1, 17]",0.9,38.0,0.0
468,"[29, 29]","[23, 12]",0.9,88.0,0.0
469,"[1, 9]","[11, 21]",0.9,60.0,11.0
470,"[2, 20]","[15, 3]",0.9,35.0,-6.0
